,name,_type,notes,null,david notes
425,user_tw,varchar_128,only one entry,yes,
426,user_url,url,,yes,
427,userpro_alert,NULL,NULL,yes,Ignore
428,userpro_verification,varchar_128,"""pending""",yes,Ignore
429,userpro_verified,boolean,null for pending?,yes?,Ignore
430,users_page_bp_signups_per_page,int,only one entry,yes,Ignore
431,users_per_page,int,only three entry,yes,
432,when_last_login,timestamp,as ISO?,yes,
433,when_last_login_count,int,counter,yes,
434,wikipedia,macaddr,,yes,
435,wll_user_ip_address,timestamp,ISO,yes,Ignore
436,wp__bbp_last_posted,timestamp,ISO,yes,Ignore
437,wp__bbp_subscriptions,json,fk,no,Ignore
438,wp_capabilities,id,fk?,yes,WordPress user capabilities (usually inherited from role)
439,wp_dashboard_quick_press_last_post_id,timestamp,iso,yes,Ignore
440,wp_language_pairs,json,fk to language,yes,Ignore
441,wp_media_library_mode,varchar_128,"""list""",yes,Ignore
442,wp_nav_menu_recently_edited,int,,yes,Ignore
443,wp_user-settings,json,fk?,yes,Ignore
444,wp_user-settings-time,timestamp,iso,yes,Ignore
445,wp_user_level,int,"range(0,10)",no,WordPress user role
446,wpseo-dismiss-about,varchar_128,"""seen""",yes,Ignore
447,wpseo-remove-upsell-notice,boolean,"1 and "" """,yes,Ignore
448,wpseo_content_analysis_disable,NULL,NULL,yes,Ignore
449,wpseo_dismissed_gsc_notice,boolean,"1 and "" """,yes,Ignore
450,wpseo_ignore_tour,boolean,"1 and "" """,yes,Ignore
451,wpseo_keyword_analysis_disable,NULL,NULL,yes,Ignore
452,wpseo_metadesc,NULL,NULL,yes,Ignore
453,wpseo_metakey,NULL,NULL,yes,Ignore
454,wpseo_noindex_author,NULL,NULL,yes,Ignore
455,wpseo_seen_about_version,float,fk to versions?,yes,Ignore
456,wpseo_title,NULL,NULL,yes,Ignore
457,youtube,NULL,NULL,yes,
